,titulo,autor,disp,editora 
305,Breve história de sete assassinatos,Marlon James,/DISPONIVEL,Intrínseca 
306,Piano Vermelho,Josh Malerman,/DISPONIVEL,Intrínseca 
307,Apenas Uma Garota,Meredith Russo,/DISPONIVEL,Intrínseca 
308,Em Busca de Abrigo,Jojo Moyes,/DISPONIVEL,Intrínseca 
309,A Casa das Marés,Jojo Moyes,/DISPONIVEL,Intrínseca 
310,Mitologia Nórdica,Neil Gaiman,/DISPONIVEL,Intrínseca 
311,Excesso de Luz,Christian McKay Heidicker,/DISPONIVEL,Intrínseca 
312,A Profecia das Sombras,Rick Riordan,/DISPONIVEL,Intrínseca 
313,Razões para continuar vivo,Matt Haig,/DISPONIVEL,Intrínseca 
314,O Caminho da Porcelana,Edmund de Waal,/DISPONIVEL,Intrínseca 
315,O Projeto Desfazer,Michael Lewis,/DISPONIVEL,Intrínseca 
316,As Garotas,Emma Cline,/DISPONIVEL,Intrínseca 
317,As Coisas que Perdemos no Fogo,Mariana Enriquez,/DISPONIVEL,Intrínseca 
318,Por trás de seus olhos,Sarah Pinborough,/DISPONIVEL,Intrínseca 
319,Eu Sei Onde Você Está,Claire Kendal,/DISPONIVEL,Intrínseca 
320,Robô Selvagem,Peter Brown,/DISPONIVEL,Intrínseca 
321,Robô Selvagem,Peter Brown,/DISPONIVEL,Intrínseca 
322,Geekerela,Ashley Poston,/DISPONIVEL,Intrínseca 
323,Hotel Valhala: Guia dos Mundos Nórdicos,Rick Riordan,/DISPONIVEL,Intrínseca 
324,Hoje Vai Ser Diferente,Maria Semple,/DISPONIVEL,Intrínseca 
325,Até Que a Culpa Nos Separe,Liane Moriarty ,/DISPONIVEL,Intrínseca 
326,Mindhunter,Mark Olshaker,/DISPONIVEL,Intrínseca 
327,Amor & Gelato,Jenna Evans Welch,/DISPONIVEL,Intrínseca 
328,Fantasma,Jason Reynolds,/DISPONIVEL,Intrínseca 
329,Fantasma,Jason Reynolds,/DISPONIVEL,Intrínseca 
330,Amor & Gelato,Jenna Evans Welch,/DISPONIVEL,Intrínseca 
331,As Mães,Brit Bennett,/DISPONIVEL,Intrínseca 
332,As Mães,Brit Bennett,/DISPONIVEL,Intrínseca 
333,Os 27 Crushes de Molly,Becky Albertalli,/DISPONIVEL,Intrínseca 
334,Os 27 Crushes de Molly,Becky Albertalli,/DISPONIVEL,Intrínseca 
335,O Árabe do Futuro,Riad Sattouf,/DISPONIVEL,Intrínseca 
336,A Vida Que Enterramos,Allen Eskens,/DISPONIVEL,Intrínseca 
337,A Vida Que Enterramos,Allen Eskens,/DISPONIVEL,Intrínseca 
338,Como as Crianças Aprendem,Paul Tough,/DISPONIVEL,Intrínseca 
339,Como Ajudar as Crianças a Aprenderem,Paul Tough,/DISPONIVEL,Intrínseca 
340,As Upstarts,Brad Stone,/DISPONIVEL,Intrínseca 
341,Meu livro. Eu que escrevi.,Raony Phillips,/DISPONIVEL,Intrínseca 
342,A Grande Saída,Angus Deaton,/DISPONIVEL,Intrínseca 
343,O Curso do Amor,Alain de Botton,/DISPONIVEL,Intrínseca 
344,O Navio dos Mortos,Rick Riordan,/DISPONIVEL,Intrínseca 
345,Mulheres Sem Nome,Martha Hall Kelly,/DISPONIVEL,Intrínseca 
346,Tartarugas Até Lá Embaixo,John Green,/DISPONIVEL,Intrínseca 
347,Cidade dos Etéreos,Ransom Riggs,/DISPONIVEL,Intrínseca 
348,Box Para Todos os Garotos Que Já Amei,Jenny Han,/DISPONIVEL,Intrínseca 
