index,titulo,autor,disp,genero,n_pags,editora 
 87,"Não é errado ser feliz","Linda Holmes",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",304,Intrínseca 
 88,"A Segunda Vida de Missy","Beth Morrey",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",304,Intrínseca 
 89,"Quarenta e Quatro em Quarentena","Miguel Pinto Guimarães",DISPONIVEL,"Entretenimento / Literatura Brasileira / Não-ficção ",624,Intrínseca 
 90,Pachinko,"Min Jin Lee",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",528,Intrínseca 
 91,"Em Águas Profundas","Patricia Highsmith",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ",304,Intrínseca 
 92,"A troca","Beth O'Leary",DISPONIVEL,"Chick-lit / Literatura Estrangeira / Romance ",352,Intrínseca 
 93,"O Enigma do Quarto 622","Joël Dicker",DISPONIVEL,"Crime / Ficção / Romance policial / Suspense e Mistério ",526,Intrínseca 
 94,"O Desaparecimento de Stephanie Mailer","Joël Dicker",DISPONIVEL,"O que aconteceu a Stephanie Mailer?E o que aconteceu realmente no Verão de 1994?Crime / Literatura Estrangeira / Romance policial / Suspense e Mistério ",578,Intrínseca 
 95,Misbehaving,"Richard H. Thaler",DISPONIVEL,"Economia, Finanças / Psicologia ",448,Intrínseca 
 96,"O verão que mudou minha vida","Jenny Han",DISPONIVEL,"Literatura Estrangeira / Romance ",240,Intrínseca 
 97,"Sem você não é verão","Jenny Han",DISPONIVEL,"Literatura Estrangeira / Romance ",240,Intrínseca 
 98,"Sempre teremos o verão","Jenny Han",DISPONIVEL,"Literatura Estrangeira / Romance ",256,Intrínseca 
 99,Misbehaving,"Richard H. Thaler ",DISPONIVEL,"Ensaios / Não-ficção ",448,Intrínseca 
 100,"Boy Erased","Garrard Conley",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira ",320,Intrínseca 
 101,"Boy Erased: Uma verdade anulada","Garrard Conley",DISPONIVEL,"Biografia, Autobiografia, Memórias / Literatura Estrangeira ",320,Intrínseca 
 102,"Os prós e os contras de nunca esquecer","Val Emmich",DISPONIVEL,"Literatura Estrangeira / Música / Romance ",320,Intrínseca 
 103,"O Quinto Risco","Michael Lewis",DISPONIVEL,"Não-ficção ",192,Intrínseca 
 104,"Holocausto Brasileiro","Daniela Arbex",DISPONIVEL,"Literatura Brasileira / Não-ficção ",280,Intrínseca 
 105,"Você nasceu para isso","Michelle Sacks",DISPONIVEL,"Literatura Estrangeira / Romance ",272,Intrínseca 
 106,"Nove Desconhecidos","Liane Moriarty ",DISPONIVEL,"Romance / Chick-lit / Literatura Estrangeira ",464,Intrínseca 
 107,"O Que Aconteceu Com Annie","C.J. Tudor",DISPONIVEL,"Ficção / Literatura Estrangeira / Suspense e Mistério ",288,Intrínseca 
 108,"As Crônicas de Âmbar","Roger Zezlany",DISPONIVEL,"Aventura / Fantasia ",784,Intrínseca 
 109,"Matadouro Cinco","Kurt Vonnegut",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance / Ficção científica ",288,Intrínseca 
 110,"Mundo em Caos","Patrick Ness",DISPONIVEL,"Distopia / Fantasia / Ficção científica / Jovem adulto / Literatura Estrangeira ",480,Intrínseca 
 111,"Faça Tempo","Jake Knapp",DISPONIVEL,"Autoajuda / Literatura Estrangeira / Negócios e Empreendedorismo ",304,Intrínseca 
 112,"O Caso da Mansão Deboën","Edgar Cantero",DISPONIVEL,"Ficção / Literatura Estrangeira / Suspense e Mistério ",352,Intrínseca 
 113,"Ainda Sou Eu","Jojo Moyes",DISPONIVEL,"Drama / Ficção / Literatura Estrangeira / Romance ",320,Intrínseca 
 114,"Areia Movediça","Malin Persson Giolito",DISPONIVEL,"Crime / Literatura Estrangeira / Suspense e Mistério ",352,Intrínseca 
 115,"F*deu Geral: Um Livro Sobre Esperança?","Mark Manson",DISPONIVEL,"Um passeio inusitado e divertido pela dor em nossos corações e o estresse em nossas vidasAutoajuda / Não-ficção ",288,Intrínseca 
 116,"A vida não é justa","Andréa Pachá",DISPONIVEL,"Ao narrar casos de separações, guarda dos filhos, partilhas de bens, paternidade, histórias de amor, reencontros e desencontros, a obra explora situações em que é difícil definir o responsável: o que sentem os casais que testemunham, impotentes, o fim da pró pria relação; como partilhar os bens quando não há mais amor para ser dividido; é possível tentar mais uma vez depois que a confiança, antes tão firme, parece escorrer por entre os dedos?Crônicas / Literatura Brasileira ",224,Intrínseca 
 117,"Nove Desconhecidos","Liane Moriarty ",DISPONIVEL,"Chick-lit / Literatura Estrangeira / Romance ",464,Intrínseca 
 118,"Tempo de Luz","Whitney Scharer",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",384,Intrínseca 
 119,"Oblivion Song: Canção do Silêncio","Robert Kirkman",DISPONIVEL,"HQ, comics, mangá / Literatura Estrangeira ",144,Intrínseca 
 120,"Só Pode Ser Brincadeira; Sr. Feynman!","Richard Feynman",DISPONIVEL,"Educação / Literatura Estrangeira ",400,Intrínseca 
 121,Ponti,"Sharlene Teo",DISPONIVEL,"Ficção / Literatura Estrangeira ",274,Intrínseca 
 122,"Bird Box: Caixa de Pássaros","Josh Malerman",DISPONIVEL,"Horror / Literatura Estrangeira ",320,Intrínseca 
 123,"Black Hammer","Jeff Lemire",DISPONIVEL,"Drama / Fantasia / Ficção científica / HQ, comics, mangá / Literatura Estrangeira ",136,Intrínseca 
 124,Mister,"E.L. James",DISPONIVEL,"Erótico / Ficção / Literatura Estrangeira / Romance ",432,Intrínseca 
 125,"A Pena e a Lei","Ariano Suassuna",DISPONIVEL,"Drama / Ficção / Literatura Brasileira ",184,Nova 
 126,"O que Aconteceu com Annie","C.J. Tudor",DISPONIVEL,"Ficção / Literatura Estrangeira / Suspense e Mistério ",288,Intrínseca 
 127,"Why Not","Raquel Landim",DISPONIVEL,"Não-ficção ",432,Intrínseca 
 128,"Raízes do Mal","Gwenda Bond",DISPONIVEL,"Ficção científica / Suspense e Mistério ",304,Intrínseca 
 129,"Um Lugar Bem Longe Daqui","Delia Owens",DISPONIVEL,"Drama / Ficção / Literatura Estrangeira ",336,Intrínseca 
 130,"Um Lugar Bem Longe Daqui","Delia Owens",DISPONIVEL,"Drama / Ficção / Literatura Estrangeira ",336,Intrínseca 
 131,"Noite em Caracas","Karina Sainz Borgo",DISPONIVEL,"Ficção / Literatura Estrangeira / Romance ",240,Intrínseca 
 132,"Este é o mar","Mariana Enriquez",DISPONIVEL,"Ficção / Literatura Estrangeira / Música ",176,Intrínseca 
 133,Ponti,"Sharlene Teo",DISPONIVEL,"Ficção / Literatura Estrangeira ",272,Intrínseca 
 134,"130 anos: Em busca da República","Alexandre de Moraes",DISPONIVEL,"Ensaios / História do Brasil / Literatura Brasileira / Não-ficção ",256,Intrínseca 
 135,"Daqui Pra Baixo","Jason Reynolds",DISPONIVEL,"Drama / Jovem adulto / Literatura Estrangeira / Poemas, poesias ",320,Intrínseca 
