index,titulo,autor,n_pags,editora,genero 
 193,TazerCraft,"Gustavo Magnani",192,Intrínseca,"Aventura / Ficção / Infantojuvenil / Literatura Brasileira " 
 194,"Ferramentas Dos Titãs","Timothy Ferriss",768,Intrínseca,"Autoajuda / Literatura Estrangeira " 
 195,"A Grande Jogada","Molly Bloom",258,Intrínseca,"Biografia, Autobiografia, Memórias " 
 196,Aniquilação,"Jeff VanderMeer",200,Intrínseca,"Drama / Ficção / Ficção científica / Literatura Estrangeira / Terror " 
 197,"Me Chame Pelo Seu Nome"," André Aciman ",288,Intrínseca,"Drama / Ficção / LGBT / GLS / Literatura Estrangeira / Romance " 
 198,"Um cavalheiro em Moscou","Amor Towles",464,Intrínseca,"Ficção / Literatura Estrangeira " 
 199,Ikigai,"Francesc Miralles",208,Intrínseca,"Literatura Estrangeira / Não-ficção " 
 200,"Os distorcidos","Scott Cawthon",288,Intrínseca," Para piorar, uma nova onda de assassinatos começa a acontecer e ela se pergunta: mas se todo o terror foi destruído junto com o que sobrou da pizzaria, o que estaria por trás dessas mortes?Ficção / Horror / Jovem adulto / Literatura Estrangeira " 
 201,"Segredos do Acampamento Meio-Sangue","Rick Riordan",176,Intrínseca,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira " 
 202,"Trilha sonora para o fim dos tempos","Anthony Marra",304,Intrínseca,"Ficção / Literatura Estrangeira " 
 203,"Com Amor; Simon","Becky Albertalli",272,Intrínseca,"Ficção / Jovem adulto / LGBT / GLS / Literatura Estrangeira / Romance " 
 204,"O Labirinto de Fogo","Rick Riordan",368,Intrínseca,"Fantasia / Ficção / Jovem adulto / Literatura Estrangeira " 
 205,"Deuses Americanos","Neil Gaiman",264,Intrínseca,"Fantasia / Ficção / HQ, comics, mangá / Literatura Estrangeira " 
 206,"Estúpida; eu?","Camila Coutinho",176,Intrínseca,"Literatura Brasileira / Moda, Estilo e Beleza / Não-ficção " 
 207,"Todas as Coisas Belas","Matthew Quick",272,Intrínseca,"Ficção / Jovem adulto / Literatura Estrangeira / Romance " 
 208,Nix,"Nathan Hill",672,Intrínseca,"Ficção / Literatura Estrangeira " 
 209,"No Tempo dos Feiticeiros","Cressida Cowell",400,Intrínseca,"Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira " 
 210,"No Tempo dos Feiticeiros","Cressida Cowell",400,Intrínseca,"Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira " 
 211,"Comer Para Não Morrer","Michael Greger",496,Intrínseca,"Literatura Estrangeira / Medicina e Saúde / Não-ficção " 
