,titulo,autor,disp
336,A Vida Que Enterramos,Allen Eskens,/DISPONIVEL
337,A Vida Que Enterramos,Allen Eskens,/DISPONIVEL
338,Como as Crianças Aprendem,Paul Tough,/DISPONIVEL
339,Como Ajudar as Crianças a Aprenderem,Paul Tough,/DISPONIVEL
340,As Upstarts,Brad Stone,/DISPONIVEL
341,Meu livro. Eu que escrevi.,Raony Phillips,/DISPONIVEL
342,A Grande Saída,Angus Deaton,/DISPONIVEL
343,O Curso do Amor,Alain de Botton,/DISPONIVEL
344,O Navio dos Mortos,Rick Riordan,/DISPONIVEL
345,Mulheres Sem Nome,Martha Hall Kelly,/DISPONIVEL
346,Tartarugas Até Lá Embaixo,John Green,/DISPONIVEL
347,Cidade dos Etéreos,Ransom Riggs,/DISPONIVEL
348,Box Para Todos os Garotos Que Já Amei,Jenny Han,/DISPONIVEL
349,Um Mais Um,Jojo Moyes,/DISPONIVEL
350,Frantumaglia,Elena Ferrante,/DISPONIVEL
351,Os Piores Pirralhos do Mundo,David Walliams,/DISPONIVEL
352,Leonardo da Vinci,Walter Isaacson,/DISPONIVEL
353,O Ego é Seu Inimigo,Ryan Holiday,/DISPONIVEL
354,Por uma Europa democrática,Stéphanie Hennette,/DISPONIVEL
355,Jogo de Espelhos,Cara Delevingne,/DISPONIVEL
356,Destrua Este Diário,Keri Smith,/DISPONIVEL
357,A Linha,Keri Smith,/DISPONIVEL
358,As coisas que perdemos no fogo,Mariana Enriquez,/DISPONIVEL
359,Nada Mais a Perder,Jojo Moyes,/DISPONIVEL
360,Endurance,Scott Kelly,/DISPONIVEL
361,O Lar da Srta. Peregrine Para Crianças Peculiares,Ransom Riggs,/DISPONIVEL
362,Vejo Você No Espaço,Jack Cheng,/DISPONIVEL
363,Rejuvelhecer,Sergio Abramoff,/DISPONIVEL
364,A Sutil Arte de Ligar o F*da-se,Mark Manson,/DISPONIVEL
365,Biblioteca de Almas,Ransom Riggs,/DISPONIVEL
366,Tartarugas Até Lá Embaixo,John Green,/DISPONIVEL
367,O Touro Ferdinando,Munro Leaf,/DISPONIVEL
368,Ordem Vermelha: Filhos da Degradação,Felipe Castilho,/DISPONIVEL
369,Extraordinário,R. J. Palacio,/DISPONIVEL
370,As Garotas,Emma Cline,/DISPONIVEL
371,Cinquenta Tons de Liberdade - O Capítulo Final,E.L. James,/DISPONIVEL
372,Matéria Escura,Blake Crouch,/DISPONIVEL
373,A Sutil Arte de Ligar o F*da-se,Mark Manson,/DISPONIVEL
374,Não Se Enrola; Não,Isabela Freitas,/DISPONIVEL
375,Um amor incômodo,Elena Ferrante,/DISPONIVEL
